tag,total_posts,total_views,total_answers,total_comments,total_favorites,year
haskell,4770,2361987,6313,13038,1500,2017
jestjs,4769,3860093,4218,7000,656,2020
silverlight,4767,5534710,6346,5405,1079,2012
listview,4766,15524421,8251,6990,2683,2012
dart,4765,42802667,9847,7890,8494,2018
matrix,4762,6023409,6869,11976,1388,2015
firefox,4761,10786847,6134,10353,2249,2014
amazon-s3,4757,419649,3196,6742,245,2021
pointers,4750,3530360,8098,22921,1034,2017
ionic3,4750,6579882,5464,8574,970,2018
aws-lambda,4748,4943567,5492,7818,1170,2019
pdf,4745,13818023,5647,9402,2430,2014
asp.net-web-api,4744,7476220,5486,11597,1493,2017
ssl,4743,24503787,5990,7574,5096,2014
ecmascript-6,4743,23963400,7651,13022,6619,2016
ionic-framework,4743,2169979,4415,6460,506,2020
apache-kafka,4742,5015137,4909,8374,1409,2019
cocoa-touch,4741,23624873,10459,3119,10277,2010
tomcat,4737,25566855,6991,8845,3355,2013
curl,4735,8680043,5161,10814,1273,2017
machine-learning,4734,14504096,5950,7504,5561,2016
asynchronous,4733,1265323,5108,11758,575,2020
codeigniter,4720,22399210,9676,6055,3166,2011
angularjs-directive,4720,14875632,6596,7796,3313,2014
google-apps-script,4719,4262867,4491,11755,1172,2018
jakarta-ee,4718,20504228,7876,6481,4439,2012
unit-testing,4716,20649117,9209,6222,5917,2012
qt,4715,2046210,4472,11178,640,2019
android-intent,4711,15916859,8039,8829,3579,2013
entity-framework,4707,2677260,5268,13622,731,2019
web,4706,6260152,6128,9218,1237,2015
qt,4705,1057878,4025,10778,424,2020
jquery-ui,4704,8926092,6140,8610,1204,2014
cakephp,4700,9820237,7470,5844,1534,2012
generics,4693,5385827,7826,12974,2314,2015
haskell,4693,6235213,8479,10090,4848,2013
unix,4690,6182444,7142,11369,1124,2016
session,4682,5580525,5336,12191,1089,2016
flash,4681,4734756,5682,6506,738,2013
xcode,4676,21358765,9922,3361,8220,2010
backbone.js,4668,13862767,7467,5238,6185,2012
recursion,4666,3910943,7905,14400,1243,2016
visual-studio-2015,4664,22831702,8134,10858,5545,2015
google-app-engine,4660,3237814,5297,8256,1443,2015
if-statement,4660,1322932,7730,12843,482,2019
android-recyclerview,4658,12228550,7023,11233,3476,2016
google-chrome,4653,6961127,4713,10235,1782,2019
matlab,4651,1033274,4469,10499,425,2019
variables,4646,26356349,10925,9167,3375,2012
delphi,4643,6421273,5551,18447,1521,2015
winforms,4641,1374562,4882,17107,478,2019
servlets,4638,21923363,7209,9833,2513,2013
http,4638,3999381,4929,10335,788,2019
spring-mvc,4634,6970970,5492,9980,1109,2018
firefox,4630,16724573,6828,10263,3216,2013
tomcat,4628,10163021,5044,9819,1547,2016
matplotlib,4627,23944549,5769,8013,4973,2015
razor,4625,22838587,7451,7821,2457,2013
matrix,4624,4959452,6333,11324,1176,2016
angularjs-directive,4620,7088174,6170,9079,1256,2015
svg,4614,5999299,4957,9300,1399,2017
redirect,4611,6052373,5596,7733,1043,2015
url,4609,22892082,8597,6913,3338,2012
templates,4606,13332855,8577,9571,4335,2012
database,4604,50907786,17812,4398,19363,2009
ecmascript-6,4604,5408331,7965,12289,1086,2019
debugging,4602,20854779,8636,8937,6679,2012
android-intent,4602,8072246,6777,9865,1955,2014
jakarta-ee,4599,14952298,6858,7510,2731,2013
opencv,4596,448923,3014,8870,461,2021
parse-platform,4596,4793147,5657,7125,1633,2014
visual-studio,4594,37761527,15173,4021,11252,2009
flask,4584,10790153,5116,8372,2227,2017
extjs,4583,11819085,6134,4920,1494,2013
email,4575,19644033,8071,8146,3216,2012
android-recyclerview,4575,4170235,6256,12086,1156,2018
react-redux,4571,2065792,4971,8085,430,2020
tkinter,4566,7780101,5154,11072,961,2017
button,4562,12870054,7685,9409,1365,2014
list,4559,64140987,13478,7279,9565,2011
xslt,4558,8486225,6445,6494,910,2013
testing,4558,1629312,4108,6608,432,2020
debugging,4556,8167701,5949,11481,2614,2015
jupyter-notebook,4553,2419363,4224,6652,621,2020
mod-rewrite,4551,7489655,5888,6453,1398,2013
matrix,4549,9212462,6927,9936,1981,2014
graphql,4546,2149889,3928,6132,577,2020
mongoose,4546,5291083,4902,8883,1106,2017
internet-explorer,4545,20720935,8619,8928,4746,2011
events,4544,13252702,7111,8639,2509,2013
winforms,4542,47928966,13912,3477,9481,2009
oop,4540,577375,5590,13153,429,2020
tsql,4539,493046,6633,11564,265,2020
select,4525,9277565,8024,9239,1084,2014
apache-kafka,4519,8008350,4966,8402,1956,2018
tkinter,4518,4441943,4918,11006,633,2018
android-activity,4516,8514517,7039,10102,1920,2014
recursion,4513,7376904,8244,12749,1816,2014
xamarin,4510,9411953,5973,6821,1989,2015
web,4503,5687409,5815,8945,988,2016
google-maps,4500,5523231,4965,8436,1308,2018
symfony,4499,3207402,4908,10117,485,2019
web,4497,987987,4271,7628,362,2020
jpa,4494,19854636,6235,7160,3386,2013
macos,4493,32020933,10479,4155,11966,2010
ember.js,4493,3167474,5111,6698,1014,2015
animation,4491,12354456,6508,7204,3053,2013
class,4490,26777338,11785,8069,5330,2011
winapi,4486,8865852,6160,12642,2230,2013
inheritance,4485,6008162,8398,12451,2299,2014
url,4481,9897542,6588,8775,1565,2014
loops,4480,25745759,10384,9671,4934,2012
django-models,4480,208565,3659,6559,174,2021
facebook-graph-api,4478,5405034,4636,6798,1424,2015
winapi,4471,11664314,6960,11106,3153,2012
cakephp,4468,4752040,5877,8776,738,2014
pyspark,4468,370033,3696,4903,448,2021
web,4463,4359651,5463,9117,932,2017
arraylist,4462,6869633,8757,13579,930,2015
jpa,4462,8273387,4734,11593,1407,2017
asynchronous,4462,5157692,5625,12606,1437,2018
twitter-bootstrap,4460,77809245,10791,5988,13829,2012
image,4457,43182896,10818,4420,9984,2010
dplyr,4456,1611320,6862,8069,715,2019
asp.net-mvc,4452,250524,3435,8461,201,2021
github,4449,17148024,6439,7291,5017,2015
github,4448,6198641,5517,8285,2287,2018
android-recyclerview,4448,7378555,6622,11179,1783,2017
post,4447,21674681,7089,10935,3054,2013
asynchronous,4445,11106711,6416,10137,4086,2014
debugging,4445,12106266,6274,10362,3369,2014
scikit-learn,4443,2194405,4222,6629,761,2020
material-ui,4443,4350103,4968,5598,676,2020
recursion,4442,3040021,7043,13950,1030,2017
inheritance,4437,4595339,7771,12788,1586,2015
woocommerce,4436,6076139,4683,6261,1781,2018
sorting,4431,25004214,10369,9908,5106,2012
grails,4428,7364463,5977,6675,1628,2013
debugging,4424,26915367,9996,7082,7850,2011
arraylist,4424,9347191,9104,12901,1062,2014
.htaccess,4422,14545834,7464,4666,2623,2011
intellij-idea,4422,18255862,6572,7972,4125,2015
unit-testing,4413,373724,3104,6319,239,2021
session,4404,17026221,7951,8976,3334,2012
async-await,4404,1559538,5314,12150,594,2020
curl,4401,18320545,5681,9185,2576,2014
ruby,4396,402963,4108,8283,230,2021
numpy,4392,42768128,8267,9089,8987,2013
jpa,4388,9572889,4863,10584,1582,2016
authentication,4388,11674841,5358,6119,4920,2014
spring-boot,4385,35385845,7008,8510,6549,2015
animation,4379,5079882,5083,7703,1561,2016
github,4379,3929231,5075,7841,1901,2019
rust,4376,490910,4024,9275,530,2021
android-listview,4374,6440461,6586,10264,1352,2014
user-interface,4372,18809695,8975,5421,4993,2011
pyspark,4372,10312996,4842,7418,2082,2018
selenium,4370,28347770,7546,7405,4412,2013
search,4366,12214264,7267,7980,2437,2013
heroku,4365,10034804,6446,6461,3781,2013
join,4363,13040100,7915,8436,1777,2013
node.js,4362,84353908,11411,5528,31749,2011
pointers,4362,551719,6438,18435,491,2020
canvas,4356,6456226,5100,9046,1753,2015
join,4355,7301428,7249,9525,1350,2014
authentication,4354,321375,2586,5738,264,2021
laravel,4347,39644784,8836,5891,7683,2013
inheritance,4345,10702340,9081,11221,3513,2013
variables,4345,5021393,7000,11618,838,2016
parsing,4345,4000506,5762,10892,880,2017
json,4345,71560306,10866,4792,16885,2010
ssl,4343,2500286,3286,7881,598,2020
jpa,4342,1173924,4010,8757,425,2020
generics,4340,6487505,7630,11747,2384,2014
redirect,4340,13537321,6400,6495,2101,2013
opencv,4337,25744667,7106,6449,8878,2012
gwt,4335,7623979,6478,4072,1896,2012
dplyr,4333,3734208,6905,8806,1431,2018
function,4326,33710583,11745,7975,6711,2011
rest,4325,316791,3110,6292,207,2021
canvas,4322,8395859,5288,7377,2016,2014
scala,4321,19326846,10054,5463,12061,2011
regex,4321,68033322,17078,5698,21047,2009
ssl,4318,8910658,4155,9074,1611,2018
zend-framework,4318,8563702,7368,4693,2095,2011
generics,4317,4712544,6493,11985,1758,2016
templates,4317,3177999,5884,12098,1524,2017
pytorch,4317,685473,2878,5497,394,2021
security,4314,7305718,5100,9132,2588,2016
discord.js,4311,508470,4430,6792,107,2021
unit-testing,4311,19955220,9641,4690,7155,2011
mod-rewrite,4309,2922773,4860,7034,573,2015
visual-studio-2017,4308,6330553,4909,11343,1303,2018
jakarta-ee,4307,9364092,5503,7855,1552,2014
model-view-controller,4300,5285046,5329,8901,991,2015
java,4300,188996158,25667,3314,74003,2008
ms-access,4300,1137401,4881,11515,264,2019
webpack,4297,933586,2295,4547,373,2021
oop,4297,16456071,12398,8242,7585,2011
zend-framework,4296,6658075,6400,5626,1495,2012
user-interface,4283,4828492,5116,9159,1022,2016
jquery-mobile,4283,3973977,4537,10430,703,2014
backbone.js,4282,4795342,5148,6859,1085,2014
wcf,4276,4170964,4143,9368,801,2015
recursion,4272,588186,6045,12030,478,2020
django-models,4272,1885366,4577,8410,577,2019
web-services,4271,21208285,8357,3635,5889,2010
post,4263,10934503,6034,10509,1585,2014
android-intent,4261,20008937,7939,6181,5176,2012
django-rest-framework,4260,289257,3351,5986,217,2021
twitter-bootstrap-3,4259,13102592,6478,7719,1319,2015
web-services,4259,4443776,4177,8574,813,2017
xslt,4256,4427261,5579,8087,552,2014
events,4253,17348544,7544,6434,3243,2012
visual-studio-2015,4247,5741596,4527,10576,1079,2017
android-studio,4246,40058175,9031,7849,8265,2014
oop,4245,3350904,6595,13707,1081,2017
amazon-s3,4244,12417697,5516,6835,2637,2016
firefox,4244,6431003,4847,9601,1722,2015
join,4242,3974315,6628,10334,866,2015
vuejs2,4242,2089281,4621,6774,369,2020
maven,4238,610233,2779,8583,324,2021
uwp,4228,4034882,5006,7819,1421,2016
ruby-on-rails-4,4227,14056967,6809,6301,5241,2013
svg,4222,12187117,5129,7877,2723,2014
windows-phone-7,4221,4428159,5560,5205,862,2013
asp.net-mvc-2,4218,12961637,7747,3207,4076,2010
haskell,4212,7027710,8322,8509,7883,2012
android-fragments,4209,22096611,6859,7520,5969,2013
winforms,4206,638195,3806,14497,257,2020
matrix,4203,3207159,5521,10457,976,2017
android-intent,4196,6388118,5961,9193,1612,2015
forms,4196,244907,3370,7088,155,2021
jsf,4193,5510649,3550,11721,885,2015
ionic-framework,4192,12292930,5906,7240,2202,2015
jenkins,4192,13197720,5468,5463,2283,2015
django-views,4190,667806,4158,6365,268,2020
yii,4189,5754305,5638,6605,807,2014
redirect,4189,4172058,4843,7287,655,2016
amazon-ec2,4187,6035746,5097,7788,1479,2017
pdf,4183,19177958,5708,7959,3056,2013
docker-compose,4181,6512894,4769,8022,1317,2019
plot,4172,7868354,4648,7753,1655,2017
ggplot2,4168,11810901,4592,9237,2615,2016
web-scraping,4163,4636557,4946,8642,1239,2017
debugging,4159,6113875,5014,10316,1862,2016
exception,4158,11636589,6783,11572,1870,2014
sockets,4153,20321715,7825,6774,4678,2011
unix,4151,39961666,9663,7381,7984,2012
apache-flex,4151,4154445,5422,5773,738,2012
sqlite,4148,225321,3256,7692,163,2021
servlets,4147,6974429,4990,9904,1016,2015
scala,4145,276097,3701,6923,779,2021
testing,4144,8736786,5659,6060,2284,2015
entity-framework,4144,1133875,4271,10717,360,2020
keras,4144,18128121,5268,7381,6472,2017
intellij-idea,4139,6694152,4723,9130,1361,2018
http,4139,34984730,8223,5446,8600,2011
tomcat,4139,26987570,6946,6471,3640,2012
android-layout,4135,3740952,6304,9762,1094,2018
generics,4135,10475481,8808,11069,3254,2013
authentication,4134,14942041,5663,5627,5049,2013
gcc,4130,12581383,5918,14018,3126,2014
unix,4125,4246072,6193,10408,844,2017
shiny,4123,675929,3374,5604,614,2020
d3.js,4123,15127337,5223,6995,4340,2013
google-app-engine,4120,6542417,6882,4861,3067,2011
google-maps-api-3,4118,13436849,5310,6607,2635,2013
linq,4114,1230216,6072,14013,533,2019
twitter-bootstrap-3,4114,8482834,6161,6999,843,2016
gradle,4113,28786310,6978,6687,6757,2014
shell,4110,255814,4291,10333,232,2021
sql-server-2005,4110,29843321,10050,4562,3562,2010
swift2,4106,6296870,5843,8144,1800,2016
woocommerce,4105,7968416,4650,5668,2321,2017
visual-studio-2008,4102,14870456,8872,4043,2929,2010
.htaccess,4099,1203518,3923,7972,366,2018
object,4093,25936922,9646,8031,5190,2012
select,4089,6450790,6852,9036,765,2015
razor,4085,13201268,5999,8586,1378,2014
variables,4085,3833835,6340,11757,693,2017
parsing,4079,27594562,9425,7310,5683,2011
assembly,4077,6395162,4760,13803,1427,2015
sql-server-2008,4076,4169611,6449,11182,536,2016
windows-8,4076,9125203,5635,6046,1871,2013
url,4075,7280306,5519,7982,1862,2015
ajax,4073,34241237,11781,3405,8482,2009
stored-procedures,4072,10831321,5591,8826,1066,2014
asp.net-web-api,4063,26348447,6479,5970,5973,2013
ruby-on-rails-3,4058,4550048,5330,6757,1752,2014
mongoose,4057,6650220,4878,6464,1337,2016
plot,4057,7896351,4512,7646,1584,2016
math,4057,14806926,8341,12735,4059,2013
dplyr,4056,218025,6424,5335,890,2021
windows-8,4055,12991526,6839,5032,3521,2012
apache,4053,2196804,3502,8215,442,2019
canvas,4052,12881080,5706,6589,3130,2013
arraylist,4049,4354694,7271,12431,631,2016
woocommerce,4049,271068,2434,3638,260,2021
generics,4048,3437346,5792,12045,1387,2017
oracle,4048,55326838,10462,4628,4944,2010
sockets,4047,3290361,3611,11646,788,2018
jsp,4045,3519262,4224,9545,502,2017
visual-c++,4045,13330634,6790,9321,2458,2012
authentication,4040,3158070,3966,6820,848,2019
google-sheets,4038,4137907,4319,8154,828,2018
image-processing,4037,9430559,5167,9273,3109,2014
datetime,4035,266368,4711,8539,226,2021
exception,4029,22372706,8402,8750,4149,2012
nginx,4029,17088952,5077,6615,4407,2014
matlab,4029,508633,3397,8636,215,2020
server,4027,6965203,4787,8601,1268,2015
batch-file,4024,3858815,4985,12977,804,2018
grails,4024,3191427,4403,6152,797,2015
docker-compose,4022,610478,2812,6266,353,2021
unity3d,4022,10458653,5142,6303,1391,2014
haskell,4018,1556477,5580,11282,1296,2018
visual-c++,4014,9512014,5937,10118,1544,2013
testing,4011,6327167,5085,6184,1627,2016
canvas,4011,4836903,4400,9057,1152,2016
opengl,4009,4369966,4266,9217,1245,2015
swift2,4008,8919075,6128,6969,2924,2015
ubuntu,4007,610937,2524,6567,212,2021
grails,4007,7411575,5901,4182,1927,2012
gcc,4006,8885652,5344,15178,2513,2015
perl,4005,1995464,6040,13724,825,2017
android-recyclerview,4001,901231,4298,7302,360,2020
testing,4000,5638915,4731,6921,1176,2018
asp.net-mvc-4,3997,4631873,4566,11215,602,2016
redux,3997,17815651,6034,6310,7486,2016
beautifulsoup,3996,1722348,5864,7816,518,2019
gridview,3996,11783450,5963,6802,930,2013
go,3993,28432240,7045,6530,8366,2014
mysqli,3992,3709291,5840,14202,559,2015
firefox,3989,13463233,6633,7804,2534,2012
class,3988,196446,4152,10806,214,2021
intellij-idea,3987,2066900,3705,8242,511,2020
animation,3981,4773080,4705,7263,1474,2017
caching,3981,8724615,4800,6212,2694,2014
api,3981,13863830,6966,3747,4699,2011
android-layout,3979,30326961,8323,3959,7189,2011
pointers,3979,17117026,10705,11498,4511,2012
amazon-ec2,3978,1530642,3738,7232,471,2020
forms,3976,32371202,9465,3939,4914,2010
extjs,3975,13536914,5922,3771,1508,2012
jsp,3975,28070761,7221,4875,3050,2011
django-rest-framework,3974,2641783,4383,7075,749,2019
assembly,3974,5733341,4431,16738,1945,2016
object,3972,199157,5350,8880,205,2021
dataframe,3971,30304990,6580,7672,6195,2015
video,3970,8398462,4318,6634,2286,2015
gcc,3970,17599147,6624,11854,4551,2013
python-requests,3969,1235950,4002,7840,401,2020
button,3968,8379001,6268,8123,940,2015
razor,3965,21031870,7083,5218,2960,2012
aws-lambda,3963,6792816,4905,6726,1613,2018
security,3962,18564332,10944,5244,12091,2010
axios,3961,403079,3268,7066,157,2021
heroku,3961,5238033,4646,6925,1706,2016
sockets,3956,834810,2880,10126,352,2020
internet-explorer,3956,7672592,4402,10074,1202,2015
servlets,3952,20952860,6855,6300,2849,2012
aws-lambda,3951,423173,2904,6038,241,2021
asynchronous,3951,2704877,4880,11013,887,2019
deep-learning,3951,4178287,4035,5955,1263,2019
plot,3948,10721489,4705,7418,2368,2015
android-recyclerview,3944,1983996,5148,9284,703,2019
opengl,3940,11369399,5818,7511,3271,2012
core-data,3939,4189548,5248,7492,2034,2013
ios,3934,46904553,11292,3149,22967,2010
.net-core,3932,16233110,5600,8793,4334,2017
post,3932,7063469,5064,9954,1008,2015
date,3926,246466,4648,7853,204,2021
assembly,3925,7996043,5273,11080,2762,2014
caching,3925,6447260,4548,6717,1949,2015
scikit-learn,3921,4255601,4322,6251,1203,2019
google-cloud-functions,3920,1495985,4098,6982,567,2020
matlab,3919,23238318,7461,4840,3674,2011
dom,3917,23437950,7907,7870,4446,2012
gradle,3917,763201,2404,4417,337,2021
tomcat,3916,7666295,4016,8631,1021,2017
postgresql,3916,44277483,9024,5347,10641,2011
sorting,3916,222303,5025,9850,289,2021
linq,3913,641502,5579,12337,310,2020
ipad,3912,18570290,8351,2706,7722,2010
xpath,3912,5244390,5403,6746,1011,2015
heroku,3909,6853018,5000,6063,2289,2014
heroku,3908,307859,2121,5253,197,2021
entity-framework-core,3906,1702565,4040,10060,543,2020
apache,3905,1265882,2957,7273,371,2020
jpa,3904,2589924,3948,9144,605,2019
math,3903,6652005,7040,12342,1829,2014
gridview,3902,7148708,5125,7694,694,2014
audio,3901,7309902,4490,6606,2234,2014
variables,3901,573205,4862,9584,233,2020
django,3899,37012264,11620,2758,19526,2009
flask,3899,10521847,4590,7082,2329,2016
visual-studio-2008,3896,21858742,11212,3124,5709,2009
elasticsearch,3896,14078614,5070,4362,3662,2014
inheritance,3893,3624180,6211,11686,1154,2016
google-apps-script,3893,4836863,4389,6071,1076,2017
if-statement,3893,194042,5224,9197,165,2021
tsql,3892,54747871,10938,4794,7299,2010
matplotlib,3888,29580137,5151,6663,6165,2014
flask,3888,13280473,4944,6121,3307,2015
iframe,3883,16940925,5258,7221,2075,2013
sql-server-2005,3882,31970261,8622,6169,3002,2011
heroku,3882,4672150,4297,7120,1190,2017
uwp,3881,1930777,4126,8434,949,2018
join,3875,4106281,6108,9636,882,2016
wpf,3873,217799,3077,8028,183,2021
firebase-authentication,3872,1565178,3831,5447,489,2020
assembly,3868,11785633,5913,10018,2886,2013
session,3865,4433503,4380,10373,1018,2017
vector,3865,9009867,6919,12871,1764,2014
delphi,3863,14685898,10217,5609,5411,2010
eclipse,3861,2300012,3603,9729,459,2019
email,3859,25091125,7999,5427,4360,2011
redirect,3859,14408010,6316,4944,2422,2012
datetime,3859,49042052,9398,6987,5462,2012
jestjs,3858,7457703,4321,5552,1180,2019
powershell,3858,42302676,7650,3656,4200,2012
knockout.js,3851,4165646,4917,6906,710,2014
vector,3851,5377402,6418,12302,1154,2015
jsf-2,3849,11830568,4379,7689,1836,2013
windows-phone-8.1,3848,2188433,4183,5873,668,2015
stored-procedures,3847,5735040,5078,10303,660,2015
xslt,3841,10718493,6359,5908,1310,2012
primefaces,3840,14522669,4582,7814,1749,2013
file,3839,210302,3411,9402,168,2021
performance,3838,299447,3352,10832,538,2021
google-app-engine,3836,2902991,4265,6464,1258,2016
android-listview,3833,11151100,6465,7833,2152,2013
checkbox,3832,9576691,6342,8128,883,2014
image-processing,3832,7329542,4567,9130,2721,2015
google-maps,3830,19404298,6636,3600,4573,2011
events,3829,20267141,7898,4604,4401,2011
search,3829,5018645,5515,7517,1261,2014
oop,3828,1859890,5828,12692,812,2018
azure-devops,3827,520863,3755,4385,339,2021
testing,3826,3162539,4225,6163,739,2019
xpath,3825,6756675,5489,5926,990,2014
uitableview,3821,1970342,5337,11597,734,2018
validation,3819,4654600,4929,8316,758,2018
ubuntu,3818,4847209,3926,8643,849,2019
authentication,3817,5302744,4010,6794,1573,2018
assembly,3813,722057,2865,17217,403,2020
cocoa,3813,4660775,4948,6265,2497,2014
web,3812,3076880,4303,8191,707,2018
spring-mvc,3812,25048278,6503,4670,4628,2012
selenium-webdriver,3810,19690386,6352,6536,2749,2014
file-io,3809,22382663,7107,10301,2489,2013
jsf,3809,22213986,5830,3478,5584,2011
mongodb,3808,32762918,8079,3423,10820,2011
encryption,3808,8238264,4775,9546,2900,2014
image-processing,3807,12788721,5497,7593,4036,2013
selenium-webdriver,3804,302751,3489,5878,176,2021
testing,3803,6705140,4682,6270,1507,2017
heroku,3803,4918563,4679,6437,1499,2015
button,3799,21550802,7207,5768,2143,2012
facebook-graph-api,3798,12298687,5940,2835,4034,2011
templates,3798,14111043,8498,6785,5585,2011
pdf,3792,1270750,2742,7295,443,2020
video,3791,11585750,4397,5875,2628,2014
amazon-ec2,3791,7199399,4756,7136,1703,2016
web,3790,10614809,6559,5791,2309,2012
stored-procedures,3789,20400333,5965,8209,1626,2013
exception,3784,7771726,5719,10309,1592,2015
caching,3780,10535815,5177,6151,4159,2013
google-chrome,3779,483332,1760,5081,293,2021
asp.net,3775,47722811,15355,1575,13933,2008
discord.py,3773,2913022,4516,4964,317,2020
dom,3773,8772627,6036,9276,2590,2014
user-interface,3773,863566,3380,7378,299,2020
iis,3771,7835142,3996,7923,1377,2015
javafx,3768,1710846,3168,11205,481,2019
winapi,3763,12795998,7141,7427,3434,2011
activerecord,3762,8995507,6112,4084,2547,2012
parsing,3761,2790962,4910,9955,610,2018
plot,3760,844904,3529,5764,407,2020
symfony,3758,1310717,3539,7677,300,2020
angular-material,3757,2782275,4163,5194,396,2020
d3.js,3755,2132110,3482,7005,708,2018
facebook,3755,19388577,7277,2456,6149,2010
math,3752,5420260,6308,12461,1606,2015
post,3752,27276457,6975,7574,3915,2012
random,3751,9427452,7474,10680,2032,2014
yii,3750,7668086,5722,5697,938,2013
listview,3749,19355882,7069,4037,3890,2011
audio,3746,5542828,4090,6602,1755,2015
user-interface,3745,3755066,4211,8418,876,2017
debugging,3743,5022702,4275,9494,1455,2017
gcc,3742,6320403,4617,14365,2575,2016
mobile,3740,11088801,5188,5454,2277,2013
xaml,3738,2175268,4204,8610,579,2018
google-maps-api-3,3737,16092007,5737,4097,2925,2012
stored-procedures,3736,4820779,4851,10456,514,2016
google-bigquery,3736,1060843,4507,5230,296,2020
multidimensional-array,3735,4935678,6441,10140,1195,2015
iframe,3735,11479392,4587,7286,1678,2014
ansible,3731,1767248,3859,5076,249,2020
cookies,3729,7833813,4483,6529,1823,2014
curl,3727,24031111,5202,7618,3978,2013
security,3726,4421680,4097,7716,1496,2017
ms-access,3726,17679133,6032,7555,1045,2012
intellij-idea,3725,21304619,6438,6619,4859,2014
encryption,3722,7656901,4391,10401,2850,2015
flash,3721,2366509,4216,5247,432,2014
jenkins,3718,284173,2041,4021,255,2021
github,3718,23301854,6110,5445,7487,2014
jpa,3716,4097050,3778,9466,834,2018
svg,3715,3436249,3940,7638,949,2018
android-activity,3715,13478436,6803,7571,3369,2013
xaml,3714,17577874,6709,3539,3404,2011
material-ui,3714,517791,3048,3715,165,2021
checkbox,3713,7517448,5870,8355,842,2015
mobile,3712,12004659,5748,4244,2708,2012
xamarin.forms,3712,8431877,5017,6785,1427,2016
core-data,3712,5253928,5389,4636,2879,2012
server,3707,5675587,3970,8318,900,2016
pip,3705,4399131,3852,8602,630,2020
eloquent,3704,839361,4425,7896,215,2020
cakephp,3702,8927119,6600,3964,1386,2011
multidimensional-array,3700,3570351,6333,10365,969,2016
react-redux,3695,5820256,4858,7207,1127,2018
codeigniter,3693,996460,4640,10362,217,2019
logging,3693,10573783,4788,5387,2359,2015
c#-4.0,3692,13639497,7305,4804,2825,2011
gwt,3691,4557489,5159,4555,1081,2013
templates,3689,2080822,4919,11263,1163,2018
awk,3687,5691231,8901,7767,1016,2014
deep-learning,3687,10659740,4385,5428,4504,2017
intellij-idea,3686,3835358,3910,8389,839,2019
eloquent,3686,1945064,5309,8261,374,2019
video,3680,7004031,3844,6507,1768,2016
linux,3680,80275867,14683,4170,24514,2009
search,3679,12773298,6688,5693,3108,2012
animation,3677,11456601,5907,4810,3246,2012
cookies,3674,7240081,4259,7431,1366,2015
select,3673,27829500,7880,6394,2983,2012
xslt,3673,2615575,4605,7628,492,2015
react-redux,3672,9211785,4965,6540,1700,2017
dictionary,3670,28902820,8230,8583,4669,2013
iis,3668,15659984,5027,6821,2610,2013
rxjs,3667,7741302,5098,7752,1424,2018
asp.net-mvc-5,3665,7960827,4659,9352,1588,2015
hibernate,3665,33926641,7854,2925,7579,2010
join,3663,3213928,5500,9399,681,2017
svn,3662,16035250,7465,3783,3479,2011
winapi,3661,5270782,4321,12087,1640,2014
pointers,3656,1664902,6050,17275,692,2018
web,3655,238745,2610,5062,186,2021
lambda,3655,6243789,5761,10229,2120,2017
authentication,3654,15710349,5565,4333,5128,2012
vba,3652,45177372,7213,4922,2844,2011
django-models,3651,3001263,4102,7284,775,2018
axios,3650,5494164,4438,8488,693,2019
math,3648,17755134,8735,10461,5284,2012
express,3646,28955794,6074,5191,7127,2013
testing,3643,12745805,5820,4805,3029,2013
redirect,3643,3595834,4062,6762,677,2017
performance,3642,42596869,16668,5593,23338,2009
http,3642,299440,2477,5740,179,2021
dom,3641,5336449,5441,8643,1282,2015
next.js,3640,4404474,3618,4633,961,2020
extjs,3639,4863699,4302,4230,568,2014
post,3638,6463252,4591,9643,828,2016
templates,3637,536093,4253,10263,781,2020
parsing,3637,596097,4072,8167,305,2020
pdf,3637,4639039,3437,8611,1048,2018
svg,3636,995393,3391,7001,377,2020
c++11,3630,1315275,5059,13461,1044,2019
recursion,3630,1775231,5816,11531,723,2018
asynchronous,3628,15937170,5758,6996,7979,2013
url,3628,34258066,8040,4655,5527,2011
apache-kafka,3623,336786,2365,5164,274,2021
apache-spark-sql,3621,1208935,4038,5164,786,2020
cordova,3618,4000384,3709,5482,841,2018
iis,3618,10254375,4319,6708,1691,2014
svn,3618,14581721,6346,4664,2686,2012
delphi,3617,3902375,4289,13696,1001,2016
bootstrap-4,3615,242804,3500,4671,135,2021
rust,3612,2717162,3805,8833,1247,2019
shiny,3611,2779703,3353,5661,1323,2018
testing,3610,9220649,5034,4853,2402,2014
recursion,3606,9704579,7462,10048,2188,2013
hibernate,3606,249470,2878,5781,179,2021
redux,3604,302665,3186,5376,167,2021
gwt,3603,8613932,6114,2476,2449,2011
networking,3599,6293565,3810,7320,1645,2016
vector,3593,4276445,5782,12657,1017,2016
jdbc,3591,12836164,5199,9377,1469,2014
pygame,3590,543753,3904,6417,211,2020
memory,3589,10358630,6277,11370,3851,2013
inheritance,3587,14058228,8548,7727,4872,2012
flutter-layout,3587,2129728,4464,4770,613,2020
visual-studio-code,3586,23169823,6082,5449,6052,2017
hadoop,3586,3388837,3481,6921,805,2018
jdbc,3585,7591294,4740,9289,1067,2015
core-data,3584,3997607,4775,6883,1961,2014
random,3584,6667585,6783,10548,1387,2015
eclipse,3581,1121307,2844,8639,246,2020
generics,3580,11778031,8549,7944,3339,2012
checkbox,3578,6180150,5552,8001,669,2016
deep-learning,3577,6372541,3967,5042,2350,2018
